estado,municipio,cve_inegi,id_estado,id_municipio,hombres,mujeres,total
Veracruz de Ignacio de la Llave,Sayula de Alemán,30144,30,144,16084,16637,32721
Veracruz de Ignacio de la Llave,Soconusco,30145,30,145,7880,8483,16363
Veracruz de Ignacio de la Llave,Sochiapa,30146,30,146,1804,1852,3656
Veracruz de Ignacio de la Llave,Soledad Atzompa,30147,30,147,11425,11705,23130
Veracruz de Ignacio de la Llave,Soledad de Doblado,30148,30,148,13690,14080,27770
Veracruz de Ignacio de la Llave,Soteapan,30149,30,149,17035,18120,35155
Veracruz de Ignacio de la Llave,Tamalín,30150,30,150,5831,5919,11750
Veracruz de Ignacio de la Llave,Tamiahua,30151,30,151,11546,11574,23120
Veracruz de Ignacio de la Llave,Tampico Alto,30152,30,152,6304,6016,12320
Veracruz de Ignacio de la Llave,Tancoco,30153,30,153,2779,3013,5792
Veracruz de Ignacio de la Llave,Tantima,30154,30,154,6574,6409,12983
Veracruz de Ignacio de la Llave,Tantoyuca,30155,30,155,50578,53038,103616
Veracruz de Ignacio de la Llave,Tatatila,30156,30,156,2960,2807,5767
Veracruz de Ignacio de la Llave,Castillo de Teayo,30157,30,157,10117,9920,20037
Veracruz de Ignacio de la Llave,Tecolutla,30158,30,158,11698,12167,23865
Veracruz de Ignacio de la Llave,Tehuipango ,30159,30,159,12677,13645,26322
Veracruz de Ignacio de la Llave,Álamo Temapache,30160,30,160,51809,52885,104694
Veracruz de Ignacio de la Llave,Tempoal,30161,30,161,17423,18400,35823
Veracruz de Ignacio de la Llave,Tenampa,30162,30,162,3309,3368,6677
Veracruz de Ignacio de la Llave,Tenochtitlán,30163,30,163,2558,2631,5189
Veracruz de Ignacio de la Llave,Teocelo,30164,30,164,7868,8612,16480
Veracruz de Ignacio de la Llave,Tepatlaxco,30165,30,165,4285,4132,8417
Veracruz de Ignacio de la Llave,Tepetlán,30166,30,166,4884,4784,9668
Veracruz de Ignacio de la Llave,Tepetzintla,30167,30,167,7183,7553,14736
Veracruz de Ignacio de la Llave,Tequila,30168,30,168,7383,7635,15018
Veracruz de Ignacio de la Llave,José Azueta,30169,30,169,11219,11704,22923
Veracruz de Ignacio de la Llave,Texcatepec,30170,30,170,5328,5606,10934
Veracruz de Ignacio de la Llave,Texhuacán,30171,30,171,2495,2789,5284
Veracruz de Ignacio de la Llave,Texistepec,30172,30,172,10389,10498,20887
Veracruz de Ignacio de la Llave,Tezonapa,30173,30,173,27934,29022,56956
Veracruz de Ignacio de la Llave,Tierra Blanca,30174,30,174,50858,55419,106277
Veracruz de Ignacio de la Llave,Tihuatlán,30175,30,175,46745,49673,96418
Veracruz de Ignacio de la Llave,Tlacojalpan,30176,30,176,2413,2540,4953
Veracruz de Ignacio de la Llave,Tlacolulan,30177,30,177,5755,5676,11431
Veracruz de Ignacio de la Llave,Tlacotalpan,30178,30,178,6372,7049,13421
Veracruz de Ignacio de la Llave,Tlacotepec de Mejía,30179,30,179,1884,1949,3833
Veracruz de Ignacio de la Llave,Tlachichilco,30180,30,180,5687,5943,11630
Veracruz de Ignacio de la Llave,Tlalixcoyan,30181,30,181,18621,19236,37857
Veracruz de Ignacio de la Llave,Tlalnelhuayocan,30182,30,182,9205,9510,18715
Veracruz de Ignacio de la Llave,Tlapacoyan,30183,30,183,29969,32013,61982
Veracruz de Ignacio de la Llave,Tlaquilpa,30184,30,184,3600,4109,7709
Veracruz de Ignacio de la Llave,Tlilapan,30185,30,185,2534,2724,5258
Veracruz de Ignacio de la Llave,Tomatlán,30186,30,186,3363,3506,6869
Veracruz de Ignacio de la Llave,Tonayán,30187,30,187,2730,2940,5670
Veracruz de Ignacio de la Llave,Totutla,30188,30,188,8562,8866,17428
Veracruz de Ignacio de la Llave,Tuxpan,30189,30,189,77949,83880,161829
Veracruz de Ignacio de la Llave,Tuxtilla,30190,30,190,1073,1112,2185
Veracruz de Ignacio de la Llave,Ursulo Galván,30191,30,191,14868,15712,30580
Veracruz de Ignacio de la Llave,Vega de Alatorre,30192,30,192,9760,10515,20275
Veracruz de Ignacio de la Llave,Veracruz,30193,30,193,290148,319816,609964
Veracruz de Ignacio de la Llave,Villa Aldama,30194,30,194,5747,6013,11760
Veracruz de Ignacio de la Llave,Xoxocotla,30195,30,195,2761,2685,5446
Veracruz de Ignacio de la Llave,Yanga,30196,30,196,8350,9546,17896
Veracruz de Ignacio de la Llave,Yecuatla,30197,30,197,5950,6158,12108
Veracruz de Ignacio de la Llave,Zacualpan,30198,30,198,3466,3728,7194
Veracruz de Ignacio de la Llave,Zaragoza,30199,30,199,5505,5849,11354
Veracruz de Ignacio de la Llave,Zentla,30200,30,200,6761,6648,13409
Veracruz de Ignacio de la Llave,Zongolica,30201,30,201,21465,22406,43871
Veracruz de Ignacio de la Llave,Zontecomatlán de López y Fuentes,30202,30,202,7125,7495,14620
Veracruz de Ignacio de la Llave,Zozocolco de Hidalgo,30203,30,203,7240,7791,15031
Veracruz de Ignacio de la Llave,Agua Dulce,30204,30,204,23118,24973,48091
Veracruz de Ignacio de la Llave,El Higo,30205,30,205,9626,9852,19478
Veracruz de Ignacio de la Llave,Nanchital de Lázaro Cárdenas del Río,30206,30,206,14589,15450,30039
Veracruz de Ignacio de la Llave,Tres Valles,30207,30,207,22603,24069,46672
Veracruz de Ignacio de la Llave,Carlos A. Carrillo,30208,30,208,11735,12830,24565
Veracruz de Ignacio de la Llave,Tatahuicapan de Juárez,30209,30,209,7501,8113,15614
Veracruz de Ignacio de la Llave,Uxpanapa,30210,30,210,14795,14639,29434
Veracruz de Ignacio de la Llave,San Rafael,30211,30,211,14536,15095,29631
Veracruz de Ignacio de la Llave,Santiago Sochiapan,30212,30,212,5996,6516,12512
